2020-04-01 15:47:56:4756 info: User: aadlercr | Method: PUT | To: /api/projects/boards/update_task | Body: {"priority":1,"description":"testaererweaa","commentthread":null,"status":"Done","color_tag":"#9b88cf","task_id":20,"title":"adding members to tasks","column_id":3,"collaborators":[{"username":"aadlercr","profile_pic":"https://cdn.intra.42.fr/users/aadlercr.jpg","u_id":1}],"owner":true}
2020-04-01 15:47:56:4756 info: User: aadlercr | Method: GET | To: /api/projects/boards/1 | Query: {"loc":"/projects/1"}
2020-04-01 15:47:57:4757 info: User: aadlercr | Method: PUT | To: /api/projects/update_project | Body: {"projectId":1,"title":"Hivemind frontend","description":"The frontend part of hivemind","link":"http://github.com/Doebelnatz/hivemind_frontend","private":false}
2020-04-01 15:48:51:4851 info: User: aadlercr | Method: PUT | To: /api/projects/update_project | Body: {"projectId":1,"title":"Hivemind frontend","description":"The frontend part of hivemind","link":"http://github.com/Doebelnatz/hivemind_frontend","private":false}
2020-04-01 15:49:57:4957 info: User: aadlercr | Method: PUT | To: /api/projects/update_project | Body: {"projectId":1,"title":"Hivemind frontend","description":"The frontend part of hivemind","link":"http://github.com/Doebelnatz/hivemind_frontend","private":false}
2020-04-01 15:50:08:508 info: User: aadlercr | Method: PUT | To: /api/projects/update_project | Body: {"projectId":1,"title":"Hivemind frontend","description":"The frontend part of hivemind","link":"http://github.com/Doebelnatz/hivemind_frontend","private":false}
2020-04-01 15:51:45:5145 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 15:51:45:5145 info: User: aadlercr | Method: GET | To: /api/projects/1 | Query: {}
2020-04-01 15:51:46:5146 info: User: aadlercr | Method: GET | To: /api/projects/boards/1 | Query: {"loc":"/projects/1"}
2020-04-01 15:51:50:5150 info: User: aadlercr | Method: PUT | To: /api/projects/update_project | Body: {"projectId":1,"title":"Hivemind frontend","description":"The frontend part of hivemind","link":"http://github.com/Doebelnatz/hivemind_frontend","privateProject":false}
2020-04-01 15:54:37:5437 info: User: aadlercr | Method: PUT | To: /api/projects/boards/update_task_position | Body: {"title":"adding members to tasks","task_id":20,"color_tag":"#9b88cf","status":"Done","priority":1,"collaborators":[{"u_id":1,"username":"aadlercr","profile_pic":"https://cdn.intra.42.fr/users/aadlercr.jpg"}],"column_id":2}
